"","V1","V2","V3"
"116",0,0,0
"117",0,1,0
"118",0,0,0
"119",0,0,0
"120",0,0,0
"121",1,0,1
"122",1,1,0
"123",0,0,1
"124",0,0,1
"125",1,0,1
"126",0,0,1
"127",0,0,0
"128",0,1,0
"129",0,0,0
"130",0,0,0
"131",0,0,0
"132",0,1,1
"133",0,0,0
"134",1,1,1
"135",0,1,0
"136",0,0,0
"137",0,0,1
"138",0,0,1
"139",0,0,0
"140",0,1,0
"141",0,0,0
"142",0,0,0
"143",0,0,0
"144",0,0,0
"145",0,0,0
"146",0,0,0
"147",0,0,0
"148",0,0,0
"149",0,0,1
"150",0,0,0
"151",1,0,0
"152",0,0,0
"153",0,0,0
"154",0,0,0
"155",0,0,0
"156",0,0,0
"157",0,0,0
"158",0,1,1
"159",0,0,0
"160",0,0,0
"161",0,0,1
"162",0,0,0
"163",1,0,0
"164",0,0,0
"165",1,0,0
"166",0,0,0
"167",0,0,0
"168",0,1,0
"169",0,0,0
"170",0,0,0
"171",0,0,0
"172",0,0,0
"173",1,0,0
"174",0,0,0
"175",0,0,0
"176",0,1,0
"177",1,0,1
"178",0,0,0
"179",0,0,0
"180",0,0,0
"181",1,0,0
"182",0,0,1
"183",0,0,0
"184",1,1,0
"185",0,0,0
"186",0,0,0
"187",0,0,0
"188",0,1,0
"189",0,0,0
"190",0,0,0
"191",0,0,0
"192",0,0,0
"193",0,0,1
"194",0,0,0
"195",1,0,0
"196",0,0,0
"197",0,0,0
"198",0,0,0
"199",0,1,0
"200",1,0,0
"201",0,0,0
"202",1,1,0
"203",1,0,0
"204",1,0,0
"205",0,0,0
"206",0,0,0
"207",0,0,0
"208",0,0,1
"209",0,0,0
"210",0,0,0
"211",0,1,0
"212",0,0,0
"213",0,0,1
"214",1,0,0
"215",0,0,0
"216",0,0,0
"217",0,0,1
"218",1,0,0
"219",0,0,0
"220",1,0,1
"221",0,0,0
"222",0,0,0
"223",0,0,0
"224",1,0,0
"225",0,0,1
"226",0,0,0
"227",0,1,0
"228",0,0,0
"229",0,1,0
"230",0,1,0
"231",0,0,0
"232",0,0,0
"233",0,0,0
"234",1,1,0
"235",1,1,0
"236",0,0,0
"237",0,0,0
"238",0,0,0
"239",1,0,0
"240",0,0,0
"241",0,1,1
"242",1,0,0
"243",0,0,0
"244",0,0,0
"245",0,0,0
"246",0,0,0
"247",0,0,1
"248",0,0,0
"249",0,0,0
"250",1,0,1
"251",0,0,0
"252",0,0,1
"253",0,0,0
"254",0,0,0
"255",0,0,0
"256",0,1,0
"257",0,0,0
"258",1,0,0
"259",0,0,0
"260",0,0,0
"261",1,0,0
"262",0,0,0
"263",0,1,0
"264",1,0,0
"265",1,0,0
"266",0,0,0
"267",0,0,0
"268",0,1,0
"269",1,0,1
"270",0,0,0
"271",0,1,1
"272",0,0,0
"273",0,0,0
"274",0,0,1
"275",0,0,1
"276",1,1,0
"277",0,0,0
"278",0,0,0
"279",0,0,0
"280",0,0,0
"281",0,1,0
"282",0,0,0
"283",0,0,1
"284",0,0,1
"285",0,0,0
"286",0,1,0
"287",0,1,0
"288",0,0,1
"289",0,1,0
"290",0,0,0
"291",0,0,0
"292",0,1,0
"293",0,0,0
"294",0,0,1
"295",1,1,0
"296",0,0,0
"297",0,0,1
"298",1,0,1
"299",0,0,0
"300",0,0,0
"301",0,0,0
"302",0,1,0
"303",0,0,0
"304",0,0,0
"305",1,1,0
"306",1,1,0
"307",1,0,1
"308",1,1,0
"309",0,0,0
"310",0,0,1
"311",1,0,0
"312",1,0,1
"313",0,0,0
"314",0,0,0
"315",0,0,1
"316",1,0,0
"317",0,0,0
"318",0,1,0
"319",0,1,1
"320",0,1,1
"321",0,0,1
"322",0,0,0
"323",0,0,0
"324",0,0,0
"325",0,0,0
"326",0,0,1
"327",0,0,0
"328",0,0,0
"329",1,0,0
"330",0,1,1
"331",0,0,0
"332",0,0,0
"333",0,0,0
"334",0,0,0
"335",0,0,0
"336",0,0,0
"337",0,0,0
"338",0,0,0
"339",0,0,0
"340",0,1,0
"341",0,0,0
"342",0,0,0
"343",0,0,0
"344",0,0,0
"345",0,0,0
"346",0,0,0
"347",0,0,0
"348",1,1,0
"349",1,0,0
"350",0,1,0
"351",1,0,1
"352",0,0,0
"353",0,0,0
"354",0,1,0
"355",0,0,0
"356",0,0,0
"357",0,1,0
"358",0,0,0
"359",0,0,0
"360",0,0,1
"361",0,0,0
"362",0,0,0
"363",1,0,1
"364",0,0,0
"365",0,0,0
"366",0,0,1
"367",0,0,0
"368",0,0,1
"369",0,0,0
"370",0,1,0
"371",1,0,0
"372",1,1,1
"373",0,0,1
"374",0,1,1
"375",0,1,0
"376",0,0,0
"377",0,0,0
"378",1,1,0
"379",0,0,0
"380",0,0,0
"381",0,1,0
"382",0,0,0
"383",0,0,1
"384",0,0,0
"385",0,0,0
"386",0,0,0
"387",0,1,1
"388",1,1,0
"389",0,0,0
"390",0,0,0
"391",0,0,0
"392",0,0,1
"393",0,0,0
"394",1,0,1
"395",0,0,0
"396",0,0,0
"397",0,1,1
"398",0,0,0
"399",0,0,1
"400",0,0,0
"401",0,1,1
"402",0,0,0
"403",0,0,0
"404",1,0,0
"405",0,0,0
"406",0,0,0
"407",0,0,1
"408",0,0,1
"409",0,0,1
"410",0,0,0
"411",1,0,0
"412",0,1,1
"413",0,0,0
"414",0,0,0
"415",1,0,0
"416",0,0,0
"417",0,1,0
"418",0,0,0
"419",0,1,1
"420",0,0,0
"421",0,0,0
"422",0,0,1
"423",1,0,0
"424",0,0,1
"425",0,0,0
"426",0,0,0
"427",0,0,0
"428",0,0,0
"429",0,0,0
"430",0,0,0
"431",0,0,1
"432",0,1,0
"433",0,1,1
"434",1,0,0
"435",0,0,1
"436",0,0,0
"437",0,0,0
"438",1,1,0
"439",0,0,0
"440",0,0,1
"441",0,0,0
"442",0,0,0
"443",0,0,0
"444",0,1,0
"445",0,0,0
"446",0,0,0
"447",0,0,0
"448",0,0,0
"449",0,0,1
"450",0,0,1
"451",0,0,1
"452",1,1,0
"453",0,1,0
"454",0,0,0
"455",0,0,0
"456",0,0,0
"457",0,0,0
"458",1,0,0
"459",0,1,0
"460",0,0,0
"461",0,1,0
"462",0,0,0
"463",0,0,0
"464",0,1,0
"465",0,0,0
"466",0,1,0
"467",0,0,0
"468",0,0,0
"469",1,1,0
"470",1,0,0
"471",0,0,0
"472",0,0,0
"473",0,0,0
"474",1,0,1
"475",0,1,0
"476",0,0,0
"477",0,0,0
"478",0,0,0
"479",0,1,0
"480",0,0,0
"481",0,0,0
"482",1,0,1
"483",1,1,1
"484",0,0,0
"485",0,0,1
"486",0,0,0
"487",1,1,0
"488",0,0,1
"489",0,0,0
"490",1,0,0
"491",0,0,0
"492",0,0,0
"493",0,0,0
"494",0,0,0
"495",1,0,0
"496",0,0,0
"497",0,0,0
"498",0,0,0
"499",0,0,1
"500",0,0,0
"501",1,1,0
"502",0,0,0
"503",1,0,1
"504",1,1,0
"505",0,0,0
"506",0,1,0
"507",0,0,0
"508",0,0,0
"509",0,1,0
"510",0,0,0
"511",0,0,0
"512",0,0,0
"513",0,0,0
"514",0,0,0
"515",0,0,0
"516",1,0,1
"517",0,0,0
"518",0,1,0
"519",0,1,0
"520",1,1,1
"521",0,0,1
"522",0,0,1
"523",0,0,0
"524",0,0,0
"525",0,0,1
"526",0,0,0
"527",0,1,0
"528",1,0,0
"529",0,0,1
"530",0,1,0
"531",1,0,1
"532",0,1,0
"533",0,1,1
"534",0,0,0
"535",0,0,0
"536",0,0,0
"537",0,0,0
"538",0,0,1
"539",1,0,0
"540",0,1,0
"541",0,0,0
"542",1,0,0
"543",0,0,0
"544",0,0,0
"545",1,0,0
"546",0,0,0
"547",0,1,0
"548",0,0,0
"549",0,1,0
"550",0,1,0
"551",0,0,1
"552",1,1,1
"553",0,0,0
"554",0,0,0
"555",0,0,0
"556",0,0,0
"557",0,0,0
"558",0,0,0
"559",0,0,1
"560",0,1,1
"561",1,0,1
"562",0,0,0
"563",0,0,0
"564",0,0,0
"565",0,0,0
"566",0,0,0
"567",0,0,0
"568",0,0,0
"569",0,0,0
"570",0,0,0
"571",0,0,1
"572",0,0,0
"573",1,0,0
"574",0,0,0
"575",0,0,1
"576",0,0,0
"577",0,0,0
"578",1,0,0
"579",0,0,0
"580",1,1,1
"581",1,1,1
"582",0,0,0
"583",0,0,0
"584",0,1,0
"585",0,0,0
"586",0,0,0
"587",0,0,0
"588",1,0,0
"589",0,0,1
"590",0,0,1
"591",0,0,0
"592",0,0,0
"593",0,1,0
"594",1,0,0
"595",0,0,0
"596",0,0,0
"597",0,0,0
"598",0,1,1
"599",0,0,0
"600",0,0,0
"601",0,0,0
"602",0,0,0
"603",0,1,0
"604",0,0,0
"605",1,1,0
"606",1,1,0
"607",0,0,0
"608",0,1,1
"609",0,0,0
"610",1,0,1
"611",0,0,0
"612",0,0,0
"613",0,0,0
"614",0,0,0
"615",0,0,1
"616",0,0,0
"617",0,0,0
"618",1,1,0
"619",0,0,0
"620",1,0,0
"621",0,0,0
"622",0,0,0
"623",1,0,1
"624",0,0,0
"625",0,0,0
"626",0,0,0
"627",0,0,0
"628",1,0,1
"629",0,0,0
"630",0,0,0
"631",0,0,0
"632",0,0,0
"633",0,0,0
"634",0,0,1
"635",0,0,0
"636",0,0,0
"637",0,0,0
"638",0,1,0
"639",0,0,0
"640",0,0,0
"641",0,0,0
"642",0,0,0
"643",0,0,0
"644",0,0,0
"645",0,0,0
"646",0,0,0
"647",1,0,0
"648",0,0,1
"649",0,0,0
"650",0,0,0
"651",0,0,0
"652",0,0,0
"653",0,0,0
"654",0,0,0
"655",0,0,0
"656",0,0,0
"657",0,0,1
"658",0,0,0
"659",0,0,0
"660",0,0,0
"661",0,1,0
"662",0,0,0
"663",0,0,0
"664",1,0,1
"665",1,0,0
"666",0,0,0
"667",0,0,0
"668",0,0,0
"669",1,0,0
"670",1,0,0
"671",0,0,0
"672",0,0,1
"673",0,0,0
"674",1,0,0
"675",1,0,0
"676",0,0,0
"677",0,1,0
"678",0,1,0
"679",0,0,0
"680",0,0,0
"681",0,0,0
"682",0,0,0
"683",0,0,1
"684",0,0,0
"685",1,0,1
"686",1,0,0
"687",0,0,1
"688",0,0,0
"689",0,1,0
"690",0,1,0
"691",0,1,1
"692",0,1,0
"693",0,0,0
"694",0,0,1
"695",0,0,0
"696",0,0,0
"697",0,0,0
"698",1,0,0
"699",0,0,1
"700",0,0,0
"701",0,0,1
"702",0,0,1
"703",0,0,0
"704",0,1,0
"705",0,0,0
"706",0,0,0
"707",0,0,0
"708",0,0,0
"709",0,0,0
"710",0,1,0
"711",0,0,0
"712",0,0,0
"713",0,0,1
"714",1,1,0
"715",0,0,0
"716",0,1,0
"717",0,1,0
"718",0,0,0
"719",0,0,0
"720",0,0,0
"721",1,0,0
"722",0,0,0
"723",0,0,1
"724",1,0,0
"725",0,0,0
"726",0,1,0
"727",0,1,0
"728",0,0,0
"729",0,0,0
"730",1,0,1
"731",0,0,0
"732",0,0,0
"733",0,0,0
"734",0,0,0
"735",0,0,0
"736",0,1,0
"737",0,0,0
"738",0,0,0
"739",1,0,1
"740",0,0,0
"741",1,1,0
"742",0,0,0
"743",0,0,0
"744",0,0,0
"745",1,0,0
"746",1,0,0
"747",0,0,0
"748",0,1,0
"749",0,0,0
"750",0,1,0
"751",1,0,0
"752",0,0,0
"753",0,0,0
"754",0,0,0
"755",0,0,0
"756",0,0,0
"757",0,0,0
"758",1,1,0
"759",0,0,0
"760",0,1,0
"761",0,1,0
"762",0,0,0
"763",0,0,0
"764",0,0,0
"765",0,0,0
"766",0,0,1
"767",0,0,0
"768",0,0,0
"769",0,0,0
"770",0,0,0
"771",0,0,1
"772",0,1,0
"773",0,0,0
"774",0,0,0
"775",0,0,0
"776",0,0,0
"777",0,0,0
"778",0,0,0
"779",0,0,0
"780",0,0,0
"781",0,1,0
"782",0,0,0
"783",0,0,0
"784",0,0,0
"785",0,0,0
"786",0,1,0
"787",0,0,0
"788",0,0,0
"789",0,0,0
"790",0,0,0
"791",1,0,0
"792",0,1,0
"793",0,0,0
"794",0,0,0
"795",1,1,0
"796",1,1,0
"797",1,0,0
"798",0,0,0
"799",1,0,1
"800",0,0,0
"801",0,0,0
"802",1,0,0
"803",1,0,0
"804",0,0,0
"805",0,1,0
"806",0,0,0
"807",0,0,0
"808",0,0,0
"809",1,0,0
"810",1,0,1
"811",0,0,0
"812",0,0,0
"813",0,0,0
"814",1,0,0
"815",0,1,0
"816",0,0,0
"817",0,0,0
"818",0,0,0
"819",0,1,1
"820",0,0,0
"821",0,0,1
"822",0,0,1
"823",1,0,1
"824",0,0,0
"825",0,1,0
"826",0,0,0
"827",0,1,1
"828",0,0,0
"829",0,0,0
"830",0,0,0
"831",1,1,0
"832",0,0,0
"833",0,1,0
"834",0,0,0
"835",0,0,0
"836",0,0,0
"837",0,0,0
"838",0,0,0
"839",0,0,0
"840",0,1,1
"841",1,0,0
"842",0,1,0
"843",1,1,0
"844",0,0,0
"845",0,0,0
"846",0,1,0
"847",0,0,0
"848",0,0,0
"849",1,0,0
"850",1,0,0
"851",0,0,0
"852",0,0,0
"853",0,0,0
"854",0,0,0
"855",0,0,0
"856",0,0,0
"857",1,0,1
"858",0,0,0
"859",0,0,1
"860",0,0,0
"861",0,1,0
"862",0,0,0
"863",0,0,0
"864",1,0,0
"865",0,0,0
"866",0,0,0
"867",0,0,0
"868",0,1,1
"869",1,0,0
"870",1,1,0
"871",1,0,0
"872",0,0,0
"873",0,0,0
"874",0,1,0
"875",0,0,0
"876",0,1,0
"877",0,0,0
"878",1,1,0
"879",0,0,0
"880",0,1,0
"881",0,0,0
"882",1,0,1
"883",0,0,1
"884",0,0,0
"885",0,0,0
"886",0,0,0
"887",0,0,0
"888",1,0,0
"889",0,0,0
"890",0,0,0
"891",0,0,0
"892",0,1,1
"893",0,1,0
"894",0,0,0
"895",0,0,0
"896",0,1,0
"897",0,0,0
"898",1,0,1
"899",0,1,0
"900",0,0,0
"901",0,0,0
"902",0,0,0
"903",1,0,0
"904",0,0,0
"905",0,0,0
"906",0,0,0
"907",0,0,0
"908",0,0,0
"909",1,0,1
"910",1,0,0
"911",0,0,0
"912",0,1,0
"913",0,0,0
"914",0,1,0
"915",0,0,0
"916",0,1,0
"917",0,1,0
"918",0,0,0
"919",0,1,0
"920",0,0,0
"921",1,0,1
"922",1,0,1
"923",0,1,0
"924",0,0,0
"925",0,0,1
"926",0,0,0
"927",0,0,0
"928",0,0,0
"929",0,0,0
"930",0,0,0
"931",0,0,0
"932",0,0,0
"933",0,0,0
"934",0,0,0
"935",0,1,0
"936",0,0,0
"937",1,0,0
"938",0,0,0
"939",0,0,0
"940",1,0,0
"941",0,0,0
"942",0,0,0
"943",1,0,0
"944",0,0,0
"945",1,1,0
"946",0,0,0
"947",0,1,1
"948",0,0,0
"949",0,0,0
"950",0,0,0
"951",0,1,0
"952",0,0,0
"953",1,0,1
"954",1,0,1
"955",0,0,0
"956",1,0,0
"957",1,0,0
"958",0,0,0
"959",0,0,1
"960",0,1,1
"961",0,0,0
"962",0,0,0
"963",0,0,0
"964",0,0,0
"965",0,0,0
"966",0,0,1
"967",0,0,0
"968",1,1,0
"969",0,0,0
"970",0,0,0
"971",0,0,0
"972",0,0,0
"973",0,0,0
"974",0,0,0
"975",0,0,1
"976",0,0,0
"977",0,0,1
"978",0,0,0
"979",0,0,1
"980",0,1,0
"981",0,1,1
"982",0,0,0
"983",0,0,0
"984",0,0,0
"985",0,1,0
"986",0,0,0
"987",0,0,1
"988",0,0,0
"989",0,0,0
"990",0,0,0
"991",0,0,0
"992",0,0,0
"993",1,1,0
"994",1,0,0
"995",0,0,0
"996",0,0,0
"997",1,1,0
"998",0,0,0
"999",0,0,0
"1000",0,0,0
